seed,train_images,test_images,straddling_clusters,leaked_test_images,test_leakage_rate
0,800,100,0,0,0.0
1,800,100,0,0,0.0
2,800,100,0,0,0.0
3,800,100,0,0,0.0
4,800,100,0,0,0.0
5,800,100,2,2,0.02
6,800,100,1,1,0.01
7,800,100,0,0,0.0
8,800,100,2,2,0.02
9,800,100,2,2,0.02
10,800,100,0,0,0.0
11,800,100,1,1,0.01
12,800,100,0,0,0.0
13,800,100,1,1,0.01
14,800,100,0,0,0.0
15,800,100,1,1,0.01
16,800,100,0,0,0.0
17,800,100,1,1,0.01
18,800,100,0,0,0.0
19,800,100,1,1,0.01
20,800,100,0,0,0.0
21,800,100,0,0,0.0
22,800,100,0,0,0.0
23,800,100,1,1,0.01
24,800,100,1,1,0.01
